,Title,Writer(s),Date,Link
10,"Hall of Fame's clueless voters swing, miss","Sheridan, Phil. 
",2013-01-10,proquest.com/docview/1268761275/fulltext/3F355DEAA6C5483DPQ/3
11,BriefCase,,2013-01-10,proquest.com/docview/1268758744/fulltext/3F355DEAA6C5483DPQ/10
12,"$3.5M for 87 in police fraud: Settlement is reached in U.S. suits over Camden drug-unit corruption that vacated sentences, cases.","Simon, Darran. 
",2013-01-10,proquest.com/docview/1268758730/fulltext/3F355DEAA6C5483DPQ/16
13,"N.J. murder suspect guilty of drug charges: Jamal Herrin, 40, faces 10 years to life plus fine.","Simon, Darran. 
",2013-01-10,proquest.com/docview/1268758722/fulltext/3F355DEAA6C5483DPQ/22
14,SideShow: YOUR DAILY DOSE OF GOSSIP,"Derakhshani, Tirdad. 
",2013-01-10,proquest.com/docview/1268758723/fulltext/3F355DEAA6C5483DPQ/44
15,Baseball writers discuss Hall balloting,"Gelb, Matt. 
",2013-01-10,proquest.com/docview/1268760933/fulltext/3F355DEAA6C5483DPQ/52
16,"FDA: Lower sleep-drug dose: New warnings for Ambien, others are the result of driving-simulator tests.","Sell, David. 
",2013-01-11,proquest.com/docview/1268847808/fulltext/EBDB690AFE6D4BC2PQ/7
17,Bucks woman charged in fatal crash with motorcycle,"Matza, Michael. 
",2013-01-11,proquest.com/docview/1268849360/fulltext/EBDB690AFE6D4BC2PQ/36
18,"Bonds, Clemens should be in the Hall of Fame: Their citations should mention the steroids use that was rampant in baseball during their careers.",,2013-01-12,proquest.com/docview/1268847674/fulltext/386633CA1A4B4865PQ/6
19,Officials charge 36 in Camden heroin ring: All but four are in custody. The network is linked to a violent gang with ties to Puerto Rico.,"Gambardello, Joseph A. 
",2013-01-12,proquest.com/docview/1268847520/fulltext/386633CA1A4B4865PQ/13
20,News in Brief,,2013-01-12,proquest.com/docview/1268847683/fulltext/386633CA1A4B4865PQ/21
21,"Funny, liberal, respected: Daylin Leach gains a voice in the Pa. Senate.","Infield, Tom. 
",2013-01-13,proquest.com/docview/1269009019/fulltext/1E5916774C12451BPQ/7
22,Drug unit scandal's toll will increase: Phila. D.A.'s Office will drop more than 100 cases on Monday.,"Fazlollah, Mark. 
",2013-01-14,proquest.com/docview/1269183161/fulltext/A3E1C08D78DD4B8CPQ/16
23,Hands-on health: Camden clinic offers free care for uninsured residents.,"Vargas, Claudia. 
",2013-01-14,proquest.com/docview/1269183143/fulltext/A3E1C08D78DD4B8CPQ/19
24,"Like many, Amaro is unsure about Phils","Ford, Bob. 
",2013-01-14,proquest.com/docview/1269183128/fulltext/A3E1C08D78DD4B8CPQ/29
25,Child-assault trial begins: A priest and a former teacher are accused of repeatedly raping a boy in N.E. Phila.,"Steele, Allison. 
",2013-01-15,proquest.com/docview/1269526278/fulltext/11742F41AF634A2EPQ/22
26,YOUR LETTERS,,2013-01-16,proquest.com/docview/1270942280/fulltext/29758AA385264304PQ/19
27,"Lawmakers hear of anti-overdose drug: A state Senate panel took testimony on wider access to the drug, which mitigates opiate overdose effects.","Joelle Farrell INQUIRER TRENTON BUREAU. 
",2013-01-16,proquest.com/docview/1270942272/fulltext/29758AA385264304PQ/23
28,"Man tells of boyhood assaults: Identified as ""Billy Doe,"" he testified about rapes by a priest and teacher, and of subsequent addiction.","Steele, Allison. 
",2013-01-16,proquest.com/docview/1270942567/fulltext/29758AA385264304PQ/24
29,BriefCase,,2013-01-17,proquest.com/docview/1270942839/fulltext/66877EE7BB7B47DCPQ/13
30,Lawyers assail credibility of alleged victim,"Slobodzian, Joseph A. 
",2013-01-17,proquest.com/docview/1270932353/fulltext/66877EE7BB7B47DCPQ/26
31,Probation for 'Weedman': N.J. trial tested validity of his Calif. medical marijuana license.,"Hefler, Jan. 
",2013-01-17,proquest.com/docview/1270932352/fulltext/66877EE7BB7B47DCPQ/30
32,BriefCase,,2013-01-18,proquest.com/docview/1270941987/fulltext/D94FA2EAD6EA4885PQ/9
33,Philly boxer sticks to old style,"Breen, Matt. 
",2013-01-18,proquest.com/docview/1270942636/fulltext/D94FA2EAD6EA4885PQ/55
34,"Unintentional overdoses a growing risk: A Penn emergency-room doctor sees them all too often, due to increased reliance on opioid painkillers.","Sell, David. 
",2013-01-20,proquest.com/docview/1271781420/fulltext/C08DB327AE5045C6PQ/36
35,"In Camden, giving back to veterans in trouble: At the Home for the Brave, those who served their nation learn sobriety and job skills.","Colimore, Edward. 
",2013-01-21,proquest.com/docview/1271782087/fulltext/4D7C22B08A7844F6PQ/4
36,News in Brief,,2013-01-22,proquest.com/docview/1271988907/fulltext/3ABFE37221CE4A97PQ/28
37,"Food for Fumo.: Fiancee fights for fruit, veggies behind bars","Rosenberg, Amy S. 
",2013-01-23,proquest.com/docview/1283394591/fulltext/92A6E4192C944E57PQ/4
38,It's a girl!: The Hollinger family is tickled pink by the arrival of little Elason Rose. She's the first female on her father's side in 137 years.,"Lini S. Kadaba FOR THE INQUIRER. 
",2013-01-23,proquest.com/docview/1282152060/fulltext/92A6E4192C944E57PQ/39
39,"Seeking a faster marijuana track: Lawyers for two patients, one of whom died waiting for pain relief, will request changes.","Hefler, Jan. 
",2013-01-24,proquest.com/docview/1283852632/fulltext/8EFD5E7DFB2342B8PQ/26
40,News in Brief,,2013-01-24,proquest.com/docview/1283852598/fulltext/8EFD5E7DFB2342B8PQ/32
41,Credit union officer is sentenced: Ignacio Morales got 7 1/2 years for theft and fraud.,"Martin, John P. 
",2013-01-25,proquest.com/docview/1281872286/fulltext/EA8DB94BA5FF4183PQ/25
42,No monitor for N.J. medical marijuana,"Hefler, Jan. 
",2013-01-25,proquest.com/docview/1281872354/fulltext/EA8DB94BA5FF4183PQ/29
43,Phila. drug dealer gets 9-18 years in son's death: Javier Merle kept a gun in his sofa. His 4-year-old killed himself with it.,"Slobodzian, Joseph A. 
",2013-01-25,proquest.com/docview/1281872295/fulltext/EA8DB94BA5FF4183PQ/35
44,Anger at decision in K-9 death: A man accused in Gloucester Twp. police dog's case could get off with drug treatment.,"Boyer, Barbara. 
",2013-01-26,proquest.com/docview/1281872153/fulltext/9937AD10FFAB4A51PQ/10
45,'Pill mill' doctor set to be sentenced: Richard Minicozzi is to be jailed for illegal prescription drug sales.,"Sell, David. 
",2013-01-29,proquest.com/docview/1282420190/fulltext/4E3E8C102B7F4BC4PQ/8
46,49ers' Bowman a hit: A former Nittany Lion has caught on.,"McLane, Jeff. 
",2013-01-29,proquest.com/docview/1282420172/fulltext/4E3E8C102B7F4BC4PQ/47
47,'Pill-mill' doctor gets seven years: Richard Minicozzi had been convicted of selling prescription painkillers from South Phila. rowhouse.,"Sell, David. 
",2013-01-30,proquest.com/docview/1283498450/fulltext/F6C684AD1DC24BCEPQ/9
48,"In Phila., a fight over methadone clinics: Conflicts in Northeast pit the right to treatment vs. a community's right to choose its neighbors.","Sapatkin, Don. 
",2013-01-30,proquest.com/docview/1283497541/fulltext/F6C684AD1DC24BCEPQ/22
49,More than shelter for homeless men: Suburban congregations offer aid.,"Hanna, Maddie. 
",2013-01-30,proquest.com/docview/1283498212/fulltext/F6C684AD1DC24BCEPQ/25
50,"Intricate N.J. tale of love, death: Man pleads not guilty in bow-and-arrow slaying case","Boyer, Barbara; SimonS, Darran. 
",2013-01-31,proquest.com/docview/1283497543/fulltext/FE726E1498544975PQ/3
51,An intricate N.J. tale of love and death: A man pleaded not guilty in the bow-and-arrow slaying in Berlin.,"Boyer, Barbara; SimonS, Darran. 
",2013-01-31,proquest.com/docview/1283497556/fulltext/FE726E1498544975PQ/33
52,Debating a methadone care facility: State lawmakers and recovery specialists gathered to discuss its many effects.,"Abdur-Rahman, Sulaiman. 
",2013-01-31,proquest.com/docview/1283497564/fulltext/FE726E1498544975PQ/34
53,Time to take Lewis off the pedestal,"Ford, Bob. 
",2013-01-31,proquest.com/docview/1283497456/fulltext/FE726E1498544975PQ/52
54,Zingy chicken soups to knock the stuffy out of flu or cold,"Joy Manning FOR THE INQUIRER. 
",2013-01-31,proquest.com/docview/1283497578/fulltext/FE726E1498544975PQ/74
55,Ghostly doings with Harry Hole: Phantom contains funny bits that constitute Jo Nesbøs social observation.,"Reviewed by Peter Rozovsky. 
",2013-02-03,proquest.com/docview/1283597100/fulltext/104E3A976FD7479FPQ/78
56,PHILLIES PROSPECTS,"Matt Gelb, Marc Narducci,; Brookover, Bob. 
",2013-02-04,proquest.com/docview/1283852576/fulltext/8716197F86724989PQ/40
57,Marijuana activist may now face jail time,"Hefler, Jan. 
",2013-02-05,proquest.com/docview/1285201228/fulltext/580D68AFEE7A449DPQ/28
58,News in Brief: [1],,2013-02-05,proquest.com/docview/1285201232/fulltext/580D68AFEE7A449DPQ/29
59,Corbett's grab bag of ideas for Pa.,"Heller, Karen. 
",2013-02-06,proquest.com/docview/1285292010/fulltext/2D99120180904DAEPQ/26
60,"Court: Drug test does not prove abuse: Ruling for a mother whose infant tested positive for cocaine, it said the evidence was insufficient.","Boyer, Barbara. 
",2013-02-07,proquest.com/docview/1285291924/fulltext/DB5EA52865204CC9PQ/23
61,Jury sees evidence of past drug sale: Paraphernalia from decade-old raids shown in Kaboni Savage's trial.,"Abdur-Rahman, Sulaiman. 
",2013-02-07,proquest.com/docview/1285292116/fulltext/DB5EA52865204CC9PQ/36
62,Shire settles ADHD drug suit: It will pay Impax Laboratories $48 million to end a dispute over the generic medication Adderall XR.,"Sell, David. 
",2013-02-09,proquest.com/docview/1285382185/fulltext/EBBFCD2FD22140A3PQ/7
63,News in Brief,,2013-02-10,proquest.com/docview/1285382154/fulltext/872828D36174029PQ/18
64,Pa. may revisit law that allowed welfare cuts,"Brubaker, Harold. 
",2013-02-12,proquest.com/docview/1286811478/fulltext/A4A115CBD47D44F9PQ/11
65,YOUR LETTERS,,2013-02-12,proquest.com/docview/1286811476/fulltext/A4A115CBD47D44F9PQ/17
66,BriefCase,,2013-02-13,proquest.com/docview/1287802154/fulltext/B8165A22377544DEPQ/11
67,"N.J. flunks test on police complaints: More than 75 percent of 497 departments surveyed provided incorrect information, the ACLU reports.","Boyer, Barbara; OsborneS, James. 
",2013-02-13,proquest.com/docview/1287802287/fulltext/B8165A22377544DEPQ/24
68,Cause of 'Nova hazmat scare still uncertain: Investigators still are not sure why students felt ill in a chemistry class.,"Whelan, Aubrey. 
",2013-02-14,proquest.com/docview/1288026306/fulltext/20B46943FEFF40AEPQ/24
69,News in Brief: [1],,2013-02-14,proquest.com/docview/1288024292/fulltext/20B46943FEFF40AEPQ/28
70,An emotional Ruiz answers questions,"Brookover, Bob. 
",2013-02-14,proquest.com/docview/1288024355/fulltext/20B46943FEFF40AEPQ/49
71,Newest Eagles bosses need to fix 'D' culture,"Sheridan, Phil. 
",2013-02-14,proquest.com/docview/1288026312/fulltext/20B46943FEFF40AEPQ/51
72,"Shire, amid change, shows its dependence on ADHD drugs","Sell, David. 
",2013-02-15,proquest.com/docview/1288128819/fulltext/81F9D871F6B34911PQ/10
73,"Woman says police framed her: Dealer was a friend, but city narcotics officer left her ""kind of in shock.""","Fazlollah, Mark. 
",2013-02-15,proquest.com/docview/1288128820/fulltext/81F9D871F6B34911PQ/24
74,Guilty plea in steelworker's killing,"Gambardello, Joseph A. 
",2013-02-16,proquest.com/docview/1288128851/fulltext/46E7667E8ACA49B0PQ/22
75,SideShow,"Derakhshani, Tirdad. 
",2013-02-16,proquest.com/docview/1288128856/fulltext/46E7667E8ACA49B0PQ/31
76,Breast cancer and perilous chemicals,"Bauers, Sandy. 
",2013-02-18,proquest.com/docview/1289175631/fulltext/8B8BF17E17C44C94PQ/17
77,Quintero says he's just happy to catch break,"Gelb, Matt. 
",2013-02-18,proquest.com/docview/1289175865/fulltext/8B8BF17E17C44C94PQ/29
78,Classroom participation via Twitter: #Waveoffuture.,"Snyder, Susan. 
",2013-02-20,proquest.com/docview/1289180649/fulltext/70F2C374AA0C4FA7PQ/1
79,Four from Chester charged in killing,"Naedele, Walter F. 
",2013-02-20,proquest.com/docview/1289180740/fulltext/70F2C374AA0C4FA7PQ/16
80,"Team Robin 1, illness 0","Derakhshani, Tirdad. 
",2013-02-21,proquest.com/docview/1297883534/fulltext/C6669E1A6E804FF9PQ/31
81,Schmidt talks on PEDs: The Phillies' Hall of Famer is not rushing to judgment on everyone.,"Brookover, Bob. 
",2013-02-22,proquest.com/docview/1297880316/fulltext/6F8DDB30399E42F6PQ/34
82,Johnson rocks drug cartel in 'Snitch',"Steven Rea INQUIRER MOVIE CRITIC. 
",2013-02-22,proquest.com/docview/1297882069/fulltext/6F8DDB30399E42F6PQ/53
83,Former credit union director charged with embezzlement,"Martin, John P. 
",2013-02-23,proquest.com/docview/1312347141/fulltext/1D0A171009DB4AB3PQ/13
84,Mathieu works to repair image,"Berman, Zach. 
",2013-02-25,proquest.com/docview/1312563221/fulltext/5851EAC6F645430APQ/24
85,"Endo Health Solutions board names new CEO: Rajiv De Silva, 46, will lead the drug and device company, replacing Dave Holveck, who retired.","Sell, David. 
",2013-02-26,proquest.com/docview/1312563252/fulltext/D112C0DB7E4B4D24PQ/8
86,"Gunfire, arrests after chase","Moran, Robert. 
",2013-03-01,proquest.com/docview/1314244509/fulltext/BEE7A1AD43724115PQ/32
87,"3 Major New Shows: All premiering Sunday, one is hollow but not without promise, and of two epic mini-series on History Channel, one is a winning adventure tale.","Derakhshani, Tirdad. 
",2013-03-02,proquest.com/docview/1314245995/fulltext/12701413C87D4F92PQ/21
88,$1M bail retained in slaying of witness: Lawmakers are seeking changes to widen the law about who is notified after a convict is released from prison.,"Simon, Darran. 
",2013-03-05,proquest.com/docview/1314602352/fulltext/251963864926471APQ/9
89,"Couple are charged in harrowing car chases: They started out in her grandmother's car from Macungie, police said, then headed to Camden.","Simon, Darran. 
",2013-03-07,proquest.com/docview/1315002347/fulltext/85E2C11AD4A742FDPQ/10
90,Sigel sentenced on drug charges,"Schaefer, Mari A. 
",2013-03-07,proquest.com/docview/1315003847/fulltext/85E2C11AD4A742FDPQ/28
91,Man gets 2 days in PPA extortion case,"Martin, John P. 
",2013-03-08,proquest.com/docview/1315463441/fulltext/761C5AF5462944A1PQ/35
92,Lining up for the 13th race: Schwartz's likely bid for governor has Democrats salivating for her seat.,"Fitzgerald, Thomas. 
",2013-03-12,proquest.com/docview/1318537914/fulltext/F5ECE52762864920PQ/11
93,'Hell's Kitchen' cooking with flavors of Philly,"Michael Klein PHILLY.COM. 
",2013-03-12,proquest.com/docview/1321233948/fulltext/F5ECE52762864920PQ/26
94,SideShow: Your Daily Dose of Gossip,"Derakhshani, Tirdad. 
",2013-03-12,proquest.com/docview/1318545370/fulltext/F5ECE52762864920PQ/29
95,Pa. bill seeks labels on genetically engineered food,"Amy Worden INQUIRER HARRISBURG BUREAU. 
",2013-03-13,proquest.com/docview/1317756233/fulltext/26CD615C0A2F480FPQ/3
96,Couple charged with theft of patients' information,"Martin, John P. 
",2013-03-13,proquest.com/docview/1317756106/fulltext/26CD615C0A2F480FPQ/16
97,Term given to drug activist: A nine-month sentence was handed down to the NJ Weedman.,"Hefler, Jan. 
",2013-03-13,proquest.com/docview/1317756294/fulltext/26CD615C0A2F480FPQ/26
98,Weedman gets nine-month jail sentence,"Hefler, Jan. 
",2013-03-13,proquest.com/docview/1317756249/fulltext/26CD615C0A2F480FPQ/29
99,Ex-city aide misses hearing: Robin Jones likely faces more time now on her charge of drunken driving.,"Slobodzian, Joseph A. 
",2013-03-15,proquest.com/docview/1318393794/fulltext/E3B95D086813451EPQ/20
100,"Authorities: Mexican Drug Cartels Big in Pa.: Trend has been building for a decade, Attorney General Kathleen Kane says.","Davis, Carolyn. 
",2013-03-18,proquest.com/docview/1318544820/fulltext/1220EA599C6C4C97PQ/11
101,2 in Chesco charged over illegal party: The East Goshen father and son were accused of custodial interference.,"Naedele, Walter F. 
",2013-03-19,proquest.com/docview/1318543979/fulltext/A9DE6A08617F4D0FPQ/19
102,"Witness tells of Savage run-ins: Eugene ""Twin"" Coleman, whose child and mother perished in a firebombing, testified in the drug trial.","Martin, John P. 
",2013-03-20,proquest.com/docview/1318860000/fulltext/A61E67DFC9594889PQ/25
103,SideShow: YOUR DAILY DOSE OF GOSSIP,"Derakhshani, Tirdad. 
",2013-03-20,proquest.com/docview/1318860316/fulltext/A61E67DFC9594889PQ/39
104,Views on medical marijuana moves,"Hefler, Jan. 
",2013-03-22,proquest.com/docview/1319463518/fulltext/EA33A9AC3A44445EPQ/18
105,Gosnell's use of anesthesia is assailed: A medical expert said the abortion doctor administered a lethal dose to a patient.,"Joseph A. Slobodzian Contact Joseph A. Slobodzian at 215-854-2985,. 
",2013-03-22,proquest.com/docview/1319463649/fulltext/EA33A9AC3A44445EPQ/21
106,Pottstown teen charged in a death: He was allegedly texting while driving and high on pot when he fatally struck a jogger.,"Palmer, Chris. 
",2013-03-22,proquest.com/docview/1319463509/fulltext/EA33A9AC3A44445EPQ/27
107,SideShow: YOUR DAILY DOSE OF GOSSIP,"Derakhshani, Tirdad. 
",2013-03-22,proquest.com/docview/1318859356/fulltext/EA33A9AC3A44445EPQ/61
108,Cherry Hill man gets 13 years in drug case,"O'Reilly, David. 
",2013-03-23,proquest.com/docview/1319463315/fulltext/1DB7FACBAE244BD3PQ/5
109,Man gets 13 years in drug case,"O'Reilly, David. 
",2013-03-23,proquest.com/docview/1319463242/fulltext/1DB7FACBAE244BD3PQ/17
110,The Next Step: Can Explorers bottle up mouth of Mississippi?,"Narducci, Marc. 
",2013-03-24,proquest.com/docview/1319463461/fulltext/CC60B0E625D84B46PQ/31
111,What follows the ICU?: Scientists probe postintensive care syndrome.,"Burling, Stacey. 
",2013-03-26,proquest.com/docview/1319936495/fulltext/CDA4AE2904604D62PQ/4
112,Two face charges after two-state police chases,"Joseph A. Slobodzian Contact Joseph A. Slobodzian at 215-854-2985,. 
",2013-03-26,proquest.com/docview/1319936733/fulltext/CDA4AE2904604D62PQ/15
113,25 are arrested in Atlantic City drug gang sweep: All 34 alleged members of Dirty Block Crime Fam were charged.,"Gambardello, Joseph A. 
",2013-03-27,proquest.com/docview/1319936692/fulltext/1F50CDE7AA7F4171PQ/10
114,Montco meth ring leader is sentenced: Surveillance showed man's auto-body shop in Lansdale was drug hot spot.,"Parks, Jessica. 
",2013-03-27,proquest.com/docview/1319936525/fulltext/1F50CDE7AA7F4171PQ/20
115,"Toxicologist: Gosnell patient overly sedated: Prosecutors said untrained workers gave multiple doses of Demerol, other drugs.","Slobodzian, Joseph A. 
",2013-03-27,proquest.com/docview/1319936518/fulltext/1F50CDE7AA7F4171PQ/22
116,"Mother never gave up hope: Dee Lynch's daughter, Molly, was found dead in Burlco nearly a year after she disappeared.","Simon, Darran. 
",2013-03-28,proquest.com/docview/1321228663/fulltext/2D2263F929EF4E98PQ/14
117,"Examiner discounts lung issues: The woman who died at Gosnell's clinic had normal organs, a medical examiner says.","Joseph A. Slobodzian Contact Joseph A. Slobodzian at 215-854-2985,. 
",2013-03-28,proquest.com/docview/1321228619/fulltext/2D2263F929EF4E98PQ/23
118,Woman gets 24 years in killing,"Simon, Darran. 
",2013-03-29,proquest.com/docview/1321563986/fulltext/F7674ECA99404EBBPQ/17
119,Gosnell defense focuses on cause-of-death change: A medical examiner said he changed it to homicide after learning more.,"Slobodzian, Joseph A. 
",2013-03-29,proquest.com/docview/1321561810/fulltext/F7674ECA99404EBBPQ/18
120,Mail delivery brings drug charge,"Schaefer, Mari A. 
",2013-03-30,proquest.com/docview/1322080079/fulltext/A4FE4D09E0B44094PQ/10
121,"Videos attacking lawmaker stir probe: An unknown group warned it would air the ""secrets"" of a GOP member of the Pa. House unless she changed her stand.","Angela Couloumbis INQUIRER HARRISBURG BUREAU. 
",2013-03-31,proquest.com/docview/1322080454/fulltext/F09919E8D1014348PQ/5
122,"Wait for medical marijuana goes on: Demand overwhelms the lone N.J. dispensary. Relief for some may not come until a second site opens, planned for September.","Hefler, Jan. 
",2013-03-31,proquest.com/docview/1322080318/fulltext/F09919E8D1014348PQ/13
123,"A look at Americans 'Working Scared': Rutgers professor's new book paints bleak picture based on interviews with 25,000 displaced workers","Von Bergen, Jane M. 
",2013-04-01,proquest.com/docview/1322080115/fulltext/7B62D1239EDF4CB9PQ/20
124,Drug lord linked to bombing: The hit man said he was not told that there were children in the house where six died in 2004.,"Martin, John P. 
",2013-04-02,proquest.com/docview/1322570932/fulltext/C45A3273AF1C4D36PQ/4
125,Couple's program helps addicts: Sobriety has enabled them to resume successful lives.,"Riordan, Kevin. 
",2013-04-02,proquest.com/docview/1322570980/fulltext/C45A3273AF1C4D36PQ/11
126,Leach will run for seat of Schwartz: The Montco state senator is the first to publicly announce a bid for the 13th District House seat.,"Amy Worden INQUIRER HARRISBURG BUREAU. 
",2013-04-02,proquest.com/docview/1322570890/fulltext/C45A3273AF1C4D36PQ/13
127,"Cocaine dealer sentenced: Wayne man got 18 to 36 years in prison for running ""major"" ring from barbershop.","Davis, Carolyn. 
",2013-04-02,proquest.com/docview/1322570936/fulltext/C45A3273AF1C4D36PQ/17
128,One truly pathetic Dude: A new book dishes the dirt on the downfall of ex-Phillie Lenny Dykstra.,"Fitzpatrick, Frank. 
",2013-04-03,proquest.com/docview/1324477057/fulltext/99196630D6854449PQ/44
129,"Gosnell's kin: Clinic work took its toll: The doctor's sister-in-law testified she suffered stress, alcoholism from job that led to charges in abortion case.","Slobodzian, Joseph A. 
",2013-04-04,proquest.com/docview/1324477087/fulltext/90B58DD63A4B44E3PQ/15
130,Judge seals some testimony in Montco pretrial hearing,"Parks, Jessica. 
",2013-04-04,proquest.com/docview/1324477124/fulltext/90B58DD63A4B44E3PQ/36
131,"Surprising, charming tale of scrappy, scruffy youths","Steven Rea INQUIRER MOVIE CRITIC. 
",2013-04-05,proquest.com/docview/1324475920/fulltext/42D775855D7544A4PQ/63
132,Prison term for gun stockpiler: An Oxford man with previous convictions received a sentence of eight years.,"Giordano, Rita. 
",2013-04-06,proquest.com/docview/1324475271/fulltext/77E529506C154D8FPQ/17
133,NFL lawsuit set for court: Judge in Phila. is asked to dismiss head-injuries case.,"Martin, John P. 
",2013-04-07,proquest.com/docview/1324476537/fulltext/5AF357F222904F32PQ/6
134,Eyeing supplements,"McCullough, Marie. 
",2013-04-08,proquest.com/docview/1324735038/fulltext/8E08FF07544A4AC9PQ/19
135,Bigger proposal for medical marijuana: Christie would double the budget for the program in anticipation of added dispensaries.,"Hefler, Jan. 
",2013-04-09,proquest.com/docview/1324735232/fulltext/48000EDFBFA64156PQ/8
136,"Gosnell aide: Abortion 'freaked me out': Sherry West, testifying in abortion doctor's murder trial under a plea deal, offered grisly testimony.","Slobodzian, Joseph A. 
",2013-04-09,proquest.com/docview/1324735182/fulltext/48000EDFBFA64156PQ/10
137,New wiretap law credited in drug bust: Montco officials said they didn't need separate orders for a suspect's 16 phones.,"Parks, Jessica. 
",2013-04-09,proquest.com/docview/1324735159/fulltext/48000EDFBFA64156PQ/17
138,"7 arrests made in Camden drug ring: Camden police seized heroin, cocaine, weapons, and cash in a drug trafficking bust located off Interstates 676 and 76.","Simon, Darran. 
",2013-04-10,proquest.com/docview/1325180410/fulltext/A9577467D55C42ABPQ/11
139,"Gosnell worker describes 'routine': Aide says the doctor told her the fetal movement she saw after an abortion was ""a last breath.""","Slobodzian, Joseph A. 
",2013-04-10,proquest.com/docview/1325180355/fulltext/A9577467D55C42ABPQ/18
140,"Gosnell intern testifies on teen years at clinic: She said she did ultrasounds, handled IVs, and saw five aborted babies move, breathe.","Slobodzian, Joseph A. 
",2013-04-12,proquest.com/docview/1326336789/fulltext/8B559C144C664832PQ/2
141,Phillies offense finding its groove: The team also appears to have restored some of the power that disappeared in the last few years.,"Brookover, Bob. 
",2013-04-12,proquest.com/docview/1326336804/fulltext/8B559C144C664832PQ/36
142,SideShow: YOUR DAILY DOSE OF GOSSIP,"Derakhshani, Tirdad. 
",2013-04-12,proquest.com/docview/1326338612/fulltext/8B559C144C664832PQ/52
143,"Graduating from disposal to Where to Donate Clothes: Colleges help students keep castoff T-shirts and jeans out of landfills, so they can be put to new uses.","Bauers, Sandy. 
",2013-04-15,proquest.com/docview/1328170456/fulltext/3668D4A621D84250PQ/29
144,Heated exchange starts 5th trial week: The city's chief medical examiner was not able to say whether the fetuses were stillborn or killed.,"Slobodzian, Joseph A. 
",2013-04-16,proquest.com/docview/1328170396/fulltext/7538A4CFEB1449F1PQ/16
145,"Gosnell jury hears of woman's death: Witness tells the court that after the victim died, the abortion provider said he ""didn't do anything wrong.""","Slobodzian, Joseph A. 
",2013-04-17,proquest.com/docview/1328470917/fulltext/CB27939EC664E94PQ/16
146,Gosnell story now not that of victims,"Heller, Karen. 
",2013-04-17,proquest.com/docview/1328470905/fulltext/CB27939EC664E94PQ/17
147,"Sites for medicine disposal added: ""Project Medicine Drop"" now includes 40 locations in N.J., a significant increase since last fall.","Boyer, Barbara. 
",2013-04-17,proquest.com/docview/1328470866/fulltext/CB27939EC664E94PQ/21
148,"Closing statements in Norristown stabbings: Once a federal drug informant, the man pleaded self-defense in the two deaths.","Parks, Jessica. 
",2013-04-17,proquest.com/docview/1328470931/fulltext/CB27939EC664E94PQ/36
149,Three charged in heroin trafficking: Lancaster County case involves city.,"Giordano, Rita. 
",2013-04-17,proquest.com/docview/1328470927/fulltext/CB27939EC664E94PQ/40
150,FDA halts plans for generic painkiller,"Sell, David. 
",2013-04-18,proquest.com/docview/1328470958/fulltext/3D74CA0480D4487CPQ/7
151,Prosecution to wrap up in Gosnell case: The news was greeted wth some relief. The defense will begin its presentation Monday.,"Slobodzian, Joseph A. 
",2013-04-18,proquest.com/docview/1328436807/fulltext/3D74CA0480D4487CPQ/24
